complaint_id,issue_type,description,latitude,longitude,location_name,reported_at,resolved_at,status,repeat_count,unsafe_flag
C0001,hygiene,Issue related to electricity reported near Hostel A,26.856053,80.944847,Library,2024-05-31,2024-07-15,open,5,1
C0002,road,Issue related to garbage reported near Canteen,26.849164,80.953266,Hostel C,2024-01-18,2024-01-21,open,9,1
C0003,leakage,Issue related to leakage reported near Hostel B,26.849659,80.956782,Hostel C,2024-02-28,,resolved,3,1
C0004,road,Issue related to light reported near Hostel B,26.84267,80.951013,Hostel C,2024-04-06,2024-04-21,resolved,1,1
C0005,road,Issue related to electricity reported near Hostel A,26.841612,80.943063,Academic Block,2024-04-08,,open,2,0
C0006,light,Issue related to electricity reported near Canteen,26.854559,80.954562,Hostel B,2024-02-03,,open,6,0
C0007,leakage,Issue related to road reported near Hostel A,26.849929,80.952005,Library,2024-01-28,2024-05-12,resolved,5,0
C0008,leakage,Issue related to road reported near Academic Block,26.848737,80.954625,Library,2024-01-05,2024-05-01,resolved,1,0
C0009,leakage,Issue related to garbage reported near Hostel A,26.85459,80.955395,Hostel C,2024-02-21,,open,1,1
C0010,road,Issue related to garbage reported near Hostel B,26.85531,80.959508,Library,2024-05-13,,resolved,4,1
C0011,hygiene,Issue related to light reported near Library,26.843178,80.951471,Canteen,2024-05-09,,open,4,1
C0012,leakage,Issue related to road reported near Hostel A,26.852205,80.946833,Library,2024-06-24,2024-07-13,open,6,0
C0013,electricity,Issue related to road reported near Hostel B,26.842707,80.952969,Hostel A,2024-04-17,,open,6,0
C0014,road,Issue related to electricity reported near Canteen,26.855028,80.941369,Canteen,2024-02-08,,resolved,6,0
C0015,light,Issue related to electricity reported near Library,26.853139,80.957948,Canteen,2024-06-04,2024-05-31,open,1,0
C0016,hygiene,Issue related to hygiene reported near Hostel B,26.859132,80.942388,Library,2024-01-25,2024-02-18,open,9,1
C0017,electricity,Issue related to hygiene reported near Library,26.841379,80.946557,Academic Block,2024-02-15,2024-01-09,resolved,7,1
C0018,electricity,Issue related to leakage reported near Hostel A,26.841141,80.956315,Hostel C,2024-05-01,,resolved,7,0
C0019,light,Issue related to light reported near Canteen,26.845644,80.951946,Hostel B,2024-06-06,2024-03-13,resolved,7,1
C0020,hygiene,Issue related to hygiene reported near Hostel C,26.845234,80.947873,Hostel B,2024-06-02,2024-03-31,open,2,0
C0021,road,Issue related to leakage reported near Hostel B,26.84494,80.949469,Hostel A,2024-01-10,,resolved,2,0
C0022,garbage,Issue related to light reported near Hostel C,26.858125,80.957091,Hostel B,2024-05-16,2024-07-19,resolved,6,0
C0023,hygiene,Issue related to garbage reported near Hostel A,26.844991,80.9468,Hostel B,2024-05-08,2024-03-03,open,7,0
C0024,light,Issue related to hygiene reported near Hostel A,26.845439,80.957393,Hostel C,2024-01-31,2024-01-19,open,3,1
C0025,electricity,Issue related to leakage reported near Hostel C,26.855188,80.941763,Hostel C,2024-01-24,,open,4,1
C0026,road,Issue related to road reported near Hostel C,26.848995,80.955536,Academic Block,2024-05-03,2024-01-05,open,3,0
C0027,hygiene,Issue related to garbage reported near Canteen,26.855534,80.956951,Hostel A,2024-06-17,2024-07-03,resolved,7,0
C0028,garbage,Issue related to hygiene reported near Library,26.841307,80.943636,Hostel B,2024-02-03,,open,7,1
C0029,garbage,Issue related to garbage reported near Academic Block,26.849751,80.948607,Academic Block,2024-06-03,,resolved,4,1
C0030,leakage,Issue related to garbage reported near Library,26.840672,80.94331,Hostel A,2024-05-18,2024-05-18,open,7,0
C0031,leakage,Issue related to leakage reported near Canteen,26.841253,80.954132,Canteen,2024-01-01,,open,5,0
C0032,light,Issue related to road reported near Hostel C,26.858129,80.950707,Hostel B,2024-06-22,2024-02-25,resolved,1,0
C0033,hygiene,Issue related to road reported near Hostel B,26.842785,80.952706,Hostel B,2024-06-15,2024-07-01,resolved,4,0
C0034,hygiene,Issue related to electricity reported near Hostel A,26.850648,80.94393,Hostel C,2024-04-20,2024-06-28,resolved,7,0
C0035,electricity,Issue related to garbage reported near Canteen,26.848222,80.944235,Library,2024-05-13,2024-04-23,open,2,1
C0036,electricity,Issue related to light reported near Hostel C,26.846947,80.94083,Hostel A,2024-04-17,2024-01-29,open,2,1
C0037,electricity,Issue related to garbage reported near Hostel B,26.857997,80.946441,Hostel B,2024-04-04,,resolved,1,0
C0038,leakage,Issue related to garbage reported near Academic Block,26.840436,80.951195,Hostel A,2024-01-12,,resolved,2,0
C0039,hygiene,Issue related to leakage reported near Academic Block,26.853276,80.957159,Academic Block,2024-06-27,,open,8,0
C0040,hygiene,Issue related to electricity reported near Hostel C,26.859268,80.953339,Academic Block,2024-05-15,,resolved,8,0
C0041,garbage,Issue related to light reported near Hostel C,26.851203,80.948708,Library,2024-04-19,,resolved,8,1
C0042,leakage,Issue related to leakage reported near Hostel B,26.858736,80.959062,Hostel B,2024-02-28,,open,1,1
C0043,road,Issue related to electricity reported near Hostel C,26.841045,80.954385,Hostel C,2024-05-03,2024-02-02,resolved,1,0
C0044,leakage,Issue related to electricity reported near Canteen,26.848376,80.958603,Hostel B,2024-04-07,2024-05-14,open,4,1
C0045,road,Issue related to electricity reported near Hostel A,26.845203,80.950552,Hostel A,2024-03-30,,open,6,0
C0046,garbage,Issue related to road reported near Canteen,26.854616,80.945178,Canteen,2024-05-30,2024-06-30,open,8,0
C0047,light,Issue related to light reported near Library,26.859626,80.941057,Academic Block,2024-06-27,,resolved,2,1
C0048,hygiene,Issue related to electricity reported near Hostel B,26.845131,80.954522,Hostel A,2024-05-27,2024-01-23,resolved,3,0
C0049,garbage,Issue related to light reported near Academic Block,26.853083,80.942426,Library,2024-01-26,,resolved,6,1
C0050,hygiene,Issue related to hygiene reported near Hostel C,26.843962,80.946056,Academic Block,2024-04-18,,resolved,4,0
C0051,electricity,Issue related to electricity reported near Canteen,26.851307,80.950649,Hostel C,2024-02-04,,open,2,0
C0052,light,Issue related to road reported near Hostel B,26.849279,80.951288,Academic Block,2024-03-06,2024-03-21,open,7,0
C0053,light,Issue related to electricity reported near Hostel C,26.85944,80.952012,Canteen,2024-05-02,2024-04-24,resolved,4,0
C0054,garbage,Issue related to garbage reported near Hostel B,26.852171,80.943325,Hostel B,2024-02-29,,resolved,8,1
C0055,light,Issue related to garbage reported near Hostel C,26.84699,80.947595,Canteen,2024-01-22,2024-04-20,resolved,8,0
C0056,road,Issue related to hygiene reported near Hostel C,26.842282,80.952344,Canteen,2024-03-13,,resolved,7,1
C0057,light,Issue related to garbage reported near Hostel B,26.843025,80.959396,Hostel B,2024-06-02,,open,9,1
C0058,hygiene,Issue related to road reported near Canteen,26.844506,80.954553,Academic Block,2024-05-19,2024-05-02,resolved,4,0
C0059,hygiene,Issue related to leakage reported near Hostel B,26.845019,80.958452,Library,2024-04-14,2024-04-05,open,7,1
C0060,hygiene,Issue related to electricity reported near Academic Block,26.857012,80.955244,Hostel B,2024-03-06,,resolved,1,0
C0061,hygiene,Issue related to hygiene reported near Canteen,26.851224,80.951834,Hostel B,2024-02-18,2024-05-06,resolved,4,1
C0062,road,Issue related to hygiene reported near Hostel B,26.850468,80.94384,Hostel C,2024-01-02,2024-04-12,resolved,2,1
C0063,leakage,Issue related to leakage reported near Hostel B,26.842295,80.953334,Academic Block,2024-01-02,2024-06-18,open,9,0
C0064,electricity,Issue related to light reported near Canteen,26.857203,80.952468,Hostel B,2024-05-27,2024-02-01,resolved,5,0
C0065,garbage,Issue related to road reported near Library,26.854456,80.952049,Library,2024-05-13,,open,3,1
C0066,hygiene,Issue related to leakage reported near Canteen,26.841353,80.949796,Hostel A,2024-01-31,2024-06-01,open,4,0
C0067,light,Issue related to road reported near Academic Block,26.854157,80.950573,Academic Block,2024-05-13,2024-07-09,resolved,6,0
C0068,hygiene,Issue related to road reported near Academic Block,26.850871,80.946689,Hostel C,2024-01-02,2024-02-14,open,1,1
C0069,light,Issue related to leakage reported near Hostel B,26.841635,80.950386,Canteen,2024-04-06,,open,7,1
C0070,electricity,Issue related to light reported near Library,26.849166,80.943951,Hostel B,2024-06-16,2024-03-28,open,8,0
C0071,electricity,Issue related to hygiene reported near Hostel A,26.849694,80.956103,Library,2024-02-22,,resolved,7,1
C0072,electricity,Issue related to garbage reported near Hostel A,26.843315,80.943716,Academic Block,2024-06-25,2024-04-14,open,7,0
C0073,light,Issue related to light reported near Canteen,26.858914,80.941699,Library,2024-03-21,,open,9,0
C0074,hygiene,Issue related to light reported near Canteen,26.857,80.948725,Library,2024-04-14,2024-07-05,resolved,4,1
C0075,electricity,Issue related to hygiene reported near Library,26.85338,80.953166,Canteen,2024-04-02,2024-07-15,resolved,7,0
C0076,road,Issue related to garbage reported near Academic Block,26.849246,80.948754,Hostel C,2024-01-28,2024-05-29,open,9,1
C0077,light,Issue related to hygiene reported near Library,26.848235,80.945535,Academic Block,2024-02-09,2024-07-13,open,5,0
C0078,light,Issue related to hygiene reported near Library,26.853019,80.951163,Hostel B,2024-04-19,2024-06-14,open,2,0
C0079,hygiene,Issue related to leakage reported near Library,26.850909,80.94694,Hostel C,2024-06-15,2024-04-02,open,5,0
C0080,light,Issue related to garbage reported near Canteen,26.841245,80.958657,Hostel B,2024-05-29,2024-06-04,resolved,4,1
C0081,light,Issue related to electricity reported near Hostel A,26.85025,80.958453,Hostel A,2024-03-05,2024-05-05,resolved,8,1
C0082,electricity,Issue related to electricity reported near Library,26.856128,80.950047,Library,2024-03-07,2024-02-08,open,5,0
C0083,hygiene,Issue related to leakage reported near Canteen,26.849185,80.946558,Hostel A,2024-05-17,2024-01-29,resolved,9,1
C0084,electricity,Issue related to leakage reported near Hostel A,26.841039,80.954743,Library,2024-04-18,,open,9,1
C0085,electricity,Issue related to leakage reported near Academic Block,26.855726,80.940734,Canteen,2024-05-24,2024-03-01,resolved,3,0
C0086,hygiene,Issue related to light reported near Academic Block,26.844027,80.949495,Hostel C,2024-04-03,2024-02-05,resolved,6,1
C0087,garbage,Issue related to garbage reported near Canteen,26.845172,80.946726,Hostel B,2024-06-05,,open,6,1
